device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed	weather_timestamp	temperature	wind_speed	wind_direction	humidity	barometer	visibility	time_window	Ice fog	Snow flurries	Light fog	Quite cool	Rain	Sleet	Haze	Freezing rain	Cool	Fog	Light rain	Light freezing rain	Cloudy	Light snow	Chilly	Drizzle	Low clouds	Rain showers	Snow	Scattered showers	Snow showers	Hail	Thundershowers	Sprinkles	Thunderstorms	Partly sunny	Partly cloudy	Scattered clouds	Broken clouds	Passing clouds	Sunny	Clear
N	50.82448	4.393893	1563228000	1563228000	10	15	1563228000	12	9	N	86	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
N	50.82448	4.393893	1563231600	1563231600	10	15	1563231600	12	7	N	87	1020	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563235200	1563235200	10	15	1563235200	11	6	N	87	1021	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563238800	1563238800	10	15	1563238800	11	5	N	88	1020	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563242400	1563242400	10	15	1563242400	11	4	NNW	88	1020	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563246000	1563246000	10	15	1563246000	10	3	NNW	89	1020	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563249600	1563249600	10	15	1563249600	10	3	WNW	89	1020	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563253200	1563253200	10	15	1563253200	11	5	WNW	88	1020	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N	50.82448	4.393893	1563256800	1563256800	10	15	1563256800	13	6	WNW	81	1020	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N	50.82448	4.393893	1563260400	1563260400	10	15	1563260400	15	6	NW	74	1020	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
